dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.apache.ant:ant,org.apache.curator:curator-recipes,7,154,128,0.05,0.05,0.05
org.apache.ant:ant,org.apache.maven:maven-core,42,154,183,0.27,0.23,0.27
commons-beanutils:commons-beanutils,org.apache.commons:commons-collections4,71,271,217,0.26,0.33,0.33
commons-beanutils:commons-beanutils,org.springframework:spring-tx,53,271,160,0.2,0.33,0.33
commons-beanutils:commons-beanutils,org.junit.vintage:junit-vintage-engine,17,271,104,0.06,0.16,0.16
org.scala-lang:scala-library,org.springframework:spring-tx,13,174,160,0.07,0.08,0.08
com.fasterxml.jackson.core:jackson-core,org.springframework.security:spring-security-web,51,510,102,0.1,0.5,0.5
com.google.protobuf:protobuf-java,org.springframework:spring-tx,16,258,160,0.06,0.1,0.1
org.apache.logging.log4j:log4j-slf4j-impl,org.hibernate:hibernate-validator,19,217,149,0.09,0.13,0.13
com.google.inject:guice,org.springframework:spring-context,41,188,417,0.22,0.1,0.22
com.google.inject:guice,com.squareup.okhttp3:okhttp,15,188,212,0.08,0.07,0.08
org.bouncycastle:bcpkix-jdk15on,org.postgresql:postgresql,28,142,230,0.2,0.12,0.2
org.springframework.boot:spring-boot-starter-test,org.springframework:spring-webmvc,27,127,251,0.21,0.11,0.21
junit:junit,org.mockito:mockito-all,330,2231,388,0.15,0.85,0.85
org.apache.logging.log4j:log4j-core,org.springframework:spring-orm,27,346,124,0.08,0.22,0.22
commons-lang:commons-lang,org.springframework:spring-test,88,415,325,0.21,0.27,0.27
org.junit.jupiter:junit-jupiter-engine,org.springframework:spring-expression,14,312,108,0.04,0.13,0.13
org.junit.jupiter:junit-jupiter-engine,org.slf4j:log4j-over-slf4j,24,312,121,0.08,0.2,0.2
mysql:mysql-connector-java,org.codehaus.groovy:groovy-all,42,494,117,0.09,0.36,0.36
mysql:mysql-connector-java,org.jsoup:jsoup,64,494,220,0.13,0.29,0.29
org.apache.curator:curator-recipes,org.springframework:spring-context,44,128,417,0.34,0.11,0.34
com.google.code.gson:gson,javax.mail:mail,65,624,154,0.1,0.42,0.42
org.apache.httpcomponents:httpcore,org.slf4j:slf4j-jdk14,16,255,101,0.06,0.16,0.16
org.apache.httpcomponents:httpcore,org.testcontainers:testcontainers,32,255,111,0.13,0.29,0.29
javax.activation:activation,org.eclipse.jetty:jetty-server,20,102,253,0.2,0.08,0.2
javax.activation:activation,org.apache.commons:commons-math3,19,102,177,0.19,0.11,0.19
com.alibaba:druid,org.jsoup:jsoup,13,137,220,0.09,0.06,0.09
commons-fileupload:commons-fileupload,org.jsoup:jsoup,48,234,220,0.21,0.22,0.22
io.springfox:springfox-swagger-ui,org.json:json,10,121,219,0.08,0.05,0.08
org.freemarker:freemarker,org.testcontainers:testcontainers,9,150,111,0.06,0.08,0.08
org.apache.poi:poi-ooxml,org.javassist:javassist,26,134,222,0.19,0.12,0.19
org.apache.commons:commons-collections4,org.eclipse.jetty:jetty-server,47,217,253,0.22,0.19,0.22
com.zaxxer:HikariCP,org.apache.logging.log4j:log4j-api,23,135,267,0.17,0.09,0.17
cglib:cglib,redis.clients:jedis,27,126,179,0.21,0.15,0.21
cglib:cglib,org.openjdk.jmh:jmh-generator-annprocess,10,126,192,0.08,0.05,0.08
org.elasticsearch:elasticsearch,org.mybatis.spring.boot:mybatis-spring-boot-starter,13,118,125,0.11,0.1,0.11
org.ow2.asm:asm,org.slf4j:jcl-over-slf4j,29,164,298,0.18,0.1,0.18
com.alibaba:fastjson,org.apache.httpcomponents:httpclient,94,288,665,0.33,0.14,0.33
com.alibaba:fastjson,org.hamcrest:hamcrest-library,3,288,224,0.01,0.01,0.01
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.aspectj:aspectjweaver,20,122,163,0.16,0.12,0.16
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.hibernate:hibernate-entitymanager,18,122,109,0.15,0.17,0.17
commons-net:commons-net,org.aspectj:aspectjrt,12,126,111,0.1,0.11,0.11
commons-net:commons-net,org.apache.maven:maven-plugin-api,16,126,254,0.13,0.06,0.13
javax.annotation:javax.annotation-api,org.apache.commons:commons-math3,26,235,177,0.11,0.15,0.15
org.powermock:powermock-module-junit4,org.testng:testng,22,203,278,0.11,0.08,0.11
org.powermock:powermock-module-junit4,xerces:xercesImpl,18,203,109,0.09,0.17,0.17
commons-logging:commons-logging,xerces:xercesImpl,44,360,109,0.12,0.4,0.4
org.hibernate:hibernate-core,org.javassist:javassist,62,193,222,0.32,0.28,0.32
com.google.code.findbugs:jsr305,org.slf4j:slf4j-simple,52,315,365,0.17,0.14,0.17
commons-configuration:commons-configuration,org.easymock:easymock,25,146,185,0.17,0.14,0.17
org.mockito:mockito-core,org.yaml:snakeyaml,115,865,255,0.13,0.45,0.45
com.beust:jcommander,javax.inject:javax.inject,15,100,187,0.15,0.08,0.15
com.squareup.okhttp3:okhttp,org.apache.commons:commons-csv,18,212,125,0.08,0.14,0.14
com.squareup.okhttp3:okhttp,org.testng:testng,26,212,278,0.12,0.09,0.12
com.squareup.okhttp3:okhttp,org.hamcrest:hamcrest,21,212,127,0.1,0.17,0.17
org.openjdk.jmh:jmh-core,org.slf4j:slf4j-log4j12,42,204,528,0.21,0.08,0.21
