dependency,count
com.bergerkiller.bukkit:BKCommonLib,2
com.cxytiandi:kitty-db-sharding-jdbc,1
org.apache.tomee:openejb-itests-app,1
org.apache.yoko:yoko-spec-corba,1
maven-test:t10-c,1
com.microsoft.bot:bot-integration-core,1
org.mengyun:tcc-transaction-sample-common,1
com.englishtown.vertx:vertx-guice,1
com.linkedin.sensei:sensei-java-client,1
org.sonarsource.java:java-checks-testkit,1
cn.iocoder.boot:yudao-common,1
com.azure.resourcemanager:azure-resourcemanager-containerservice,1
com.github.siom79.japicmp:japicmp,2
org.springframework.cloud:spring-cloud-dataflow-autoconfigure,1
org.eclipse.jetty.toolchain.setuid:jetty-setuid-java,1
org.apache.karaf.examples:karaf-blueprint-example-client,1
org.openhab.addons.bundles:org.openhab.binding.amazonechocontrol,1
org.openhab.addons.bundles:org.openhab.binding.bluetooth.govee,1
org.openhab.addons.bundles:org.openhab.binding.solaredge,1
org.codice.thirdparty:lucene-core,1
io.fabric8:fabric8-maven-plugin-enricher-api,1
com.hortonworks.streamline:streamline-metrics,1
org.metawidget.modules.struts:metawidget-strutsannotation,1
br.net.fabiozumbi12.RedProtect:RedProtect-Core,2
de.themoep.utils:lang-bukkit,1
org.jvnet.hudson.main:hudson-war,1
org.apache.stratos:org.apache.stratos.integration.common,1
org.thingsboard.common.transport:snmp,1
io.onedev:server-plugin-report-clover,1
com.atilika.kuromoji:kuromoji-naist-jdic,1
org.openrdf.sesame:sesame-repository-http,1
io.github.openfeign:feign-jaxb,2
org.gephi:appearance-api,1
org.gephi:desktop-project,1
com.impetus.kundera.client:kundera-cassandra-pelops,1
org.forgerock.openam:openam-auth-windowsdesktopsso,1
org.apache.pdfbox:jempbox,1
org.eclipse.rdf4j:rdf4j-rio-nquad,1
org.jboss.windup.exec:windup-exec,1
io.syndesis.connector:connector-google-calendar,1
com.querydsl:querydsl-kotlin-codegen,1
org.apache.syncope.ext.oidcc4ui:syncope-ext-oidcc4ui-client-common-ui,1
org.wicketstuff:wicketstuff-progressbar-spring,1
io.ha-jdbc:ha-jdbc-i18n-gettext,1
io.ebean:ebean-ddl-runner,1
org.kitesdk:kite-tools,1
io.seata:seata-discovery-zk,1
com.github.haifengl:smile-data,1
org.cedj.geekseek:geekseek-domain-attachment,1
com.facebook.jcommon:config,1
org.joml:joml-primitives,1
org.apache.hop:hop-action-createfolder,1
net.lightbody.bmp:browsermob-proxy,1
com.esotericsoftware.kryonet:kryonet,1
gov.nsa.datawave.microservice:dictionary-api,1
org.graphfoundation.ongdb:ongdb-management,1
org.gridkit.lab:telecontrol-ssh,1
org.flowable:flowable-spring-boot-starter-ui-modeler,1
org.wildfly.core:wildfly-domain-management,1
org.nutz:nutz-integration-zbus,1
com.facebook.presto:presto-testing-server-launcher,1
org.apache.cayenne:cayenne-cgen,1
org.wildfly.extras.batavia:transformer-api,1
org.wso2.carbon.identity.oauth.uma:org.wso2.carbon.identity.api.server.oauth.uma.permission,1
org.optaplanner:optaplanner-benchmark,1
de.adorsys.psd2:cms-payment-mapper,1
com.nepxion:discovery-console-starter-redis,1
com.nisovin.shopkeepers:ShopkeepersAPI,1
ddf.platform:platform-session-invalidator-api,1
io.gravitee.node:gravitee-node-cluster,1
edu.illinois.cs.cogcomp:illinois-quantifier,1
net.anotheria:moskito-inspect-jersey,1
org.joyqueue:joyqueue-broker-mqtt,1
org.joyqueue:joyqueue-security,1
org.fenixedu:tinTools,1
org.apache.tomcat.embed:tomcat-embed-jasper,33
org.jctools:jctools-core,19
org.littleshoot:littleproxy,17
org.apache.camel.quarkus:camel-quarkus-aws2-sts-deployment,1
org.apache.camel.quarkus:camel-quarkus-exec,1
org.netbeans.api:org-netbeans-api-annotations-common,11
com.github.jgraph:jgraphx,1
org.apache.camel:camel-debezium-mysql,1
org.apache.camel:camel-huaweicloud-obs,1
org.apache.lucene:lucene-memory,9
com.evanlennick:retry4j,3
com.sun.hotspot.igv:BatikSVGProxy,6
org.apache.storm:storm-client,2
io.swagger:swaggersocket.js,1
org.neo4j:neo4j-tinkerpop-api-impl,1
org.apache.hadoop:hadoop-client-minicluster,3
com.google.cloud:google-cloud-vision,1
org.primefaces:primefaces,20
com.squareup.retrofit2:retrofit,35
com.github.markusbernhardt:proxy-vole,3
org.springframework.cloud:spring-cloud-aws-jdbc,1
org.springframework.cloud:spring-cloud-starter-aws-jdbc,1
com.alibaba:dubbo-registry-nacos,2
ai.labs:caching-definition,1
org.apache.isis.persistence:isis-persistence-jdo-spring,1
org.jboss.spec.javax.annotation:jboss-annotations-api_1.3_spec,4
org.kie.server.testing:json-type-info-dependency,1
org.apache.nifi:nifi-cassandra-processors,1
org.apache.nifi:nifi-expression-language,2
org.apache.nifi:nifi-framework-cluster,1
org.apache.nifi:nifi-hbase-client-service-api,1
org.janusgraph:janusgraph-core,6
org.apache.spark:spark-sql_2.11,11
com.evolveum.midpoint.repo:system-init,1
net.sf.ehcache:ehcache-web,4
org.pac4j:pac4j-oauth,8
tomcat:jasper-runtime,3
io.netty:netty-codec-memcache,3
org.mvndaemon.mvnd.test.new-managed-module:new-managed-module-module,1
com.netflix.ribbon:ribbon-core,6
com.xeiam.xchange:xchange-btcchina,1
com.xeiam.xchange:xchange-openexchangerates,2
com.fasterxml.jackson.dataformat:jackson-module-jaxb-annotations,1
io.enmasse:api-model,1
org.apache.james:apache-mailet-amqp,1
org.apache.james:james-server-core,1
io.helidon.integrations.neo4j:helidon-integrations-neo4j-health,1
io.helidon.security.integration:helidon-security-integration-jersey,1
com.github.tillerino.twirc:twirc-server,1
ca.uhn.hapi.fhir:hapi-fhir-android,1
co.elastic.apm:apm-spring-webflux-testapp,1
org.glassfish.hk2:test-module-startup,1
commons-scxml:commons-scxml,1
org.esa.s1tbx:s1tbx-op-analysis-ui,1
org.odpi.egeria:data-manager-server,1
org.odpi.egeria:discovery-engine-client,1
org.odpi.egeria:rex-view-spring,1
org.odpi.egeria:security-integrator-spring,1
org.jruby:jruby-stdlib,3
com.navercorp.pinpoint:pinpoint-tools,1
