groupId,artifactId,mcrTags
org.xwiki.platform,xwiki-platform-notifications-filters-watchlistbridge,"filtering,platform"
org.glassfish.main.common,container-common,container
com.ibm.fhir,fhir-notification-nats,"notification,ibm"
external,webservices-api,"webservice,api"
org.prevayler,prevayler-tests,testing
io.vertx,vertx-kafka-client,"streaming,vertx,kafka,client,io"
io.smallrye,smallrye-open-api-core,"io,api"
com.ibm.stocator,stocator,ibm
org.apache.camel.quarkus,camel-quarkus-jt400,"apache,camel"
org.pentaho.reporting.designer,ext-wizard,reporting
org.apache.avro,avro-protobuf,"serialization,avro,apache,protocol"
org.apache.servicemix.specs,org.apache.servicemix.specs.jsr303-api-1.1.0,"esb,apache,api,specs"
org.eclipse.vorto,generator-api,"generator,eclipse,api"
io.zeebe,zeebe-client-java,"client,io"
io.quarkus,quarkus-security,"io,security"
org.wso2.carbon.analytics-common,org.wso2.carbon.databridge.receiver.binary,"binary,analytics"
es.gob.afirma,afirma-crypto-validation,"cryptography,validation"
org.apache.edgent,edgent-utils-metrics,"apache,metrics"
com.oracle.oci.sdk,oci-java-sdk-logging,"logging,sdk"
org.danilopianini,gson-extras,json
org.lucee,portlet,portlet
org.activiti,activiti-spring-security,"security,bpm,spring"
com.google.cloud.bigtable,bigtable-client-core,"google,cloud,client"
io.gitee.ForteScarlet.plusutils,console-plus,"io,console"
com.hurence.logisland,logisland-service-elasticsearch-api,"elasticsearch,service,elastic,api,search"
org.apache.dubbo,dubbo-rpc-rmi,"apache,rpc,rmi"
batik,batik-bridge,"graphics,svg,bridge"
org.apache.skywalking,skywalking-event-receiver-plugin,"plugin,event,apache"
org.apache.pinot,pinot-json,"json,apache"
com.yoti,yoti-sdk-impl,sdk
com.fizzed,rocker-compiler,compiler
com.thoughtworks.xstream,xstream,xml
com.stepstone.search.hnswlib.jna,hnswlib-jna,"native,search"
com.thinkbiganalytics.kylo,kylo-metadata-persistence,"persistence,metadata"
com.facebook.swift,swift-idl-parser,"parser,facebook"
io.syndesis.connector,connector-webhook,"connector,io"
com.blazebit,blaze-persistence-entity-view-api-jar,"persistence,api,view"
io.joyrpc,joyrpc-all,io
software.amazon.awssdk,support,"support,aws,amazon"
io.ebean,ebean-annotation,"io,annotations"
org.apache.servicecomb,config-kie,"config,apache"
org.openhab.addons.bundles,org.openhab.binding.fmiweather,"binding,bundle"
org.apache.pdfbox,fontbox,apache
org.flowable,flowable-camel-cdi,camel
org.openhab.addons.bundles,org.openhab.binding.pushover,"binding,bundle"
org.eobjects.datacleaner,DataCleaner-value-distribution,distribution
com.fasterxml.jackson.core,jackson-annotations,"json,annotations"
pentaho,pentaho-metaverse-api,api
org.wso2.carbon.identity.data.publisher.audit,org.wso2.carbon.identity.data.publisher.audit.user.operation.server.feature,"server,data,identity"
org.apache.flume.flume-ng-sources,flume-kafka-source,"streaming,kafka,apache"
org.apache.nifi,nifi-dbcp-service,"service,apache"
de.huxhorn.lilith,de.huxhorn.lilith.logback.appender.multiplex-classic,logging
cn.wizzer,mqtt-auth,"mqtt,authentication"
io.gravitee.am.gateway,gravitee-am-gateway-policy,"gateway,io,policy"
com.fujieid,jap-social,social
org.apache.camel,camel-aws2-ddb,"aws,amazon,apache,camel"
org.sonatype.aether,aether-connector-wagon,connector
org.locationtech.geowave,geowave-cli-landsat8,command-line
org.sonatype.nexus,nexus-quartz,scheduling
displaytag,displaytag-export-poi,export
org.jodd,jodd-lagarto,"html,parser"
com.mockrunner,mockrunner,"mocking,testing"
org.apache.poi,poi-ooxml-lite,apache
org.openhab.addons.bundles,org.openhab.binding.modbus.e3dc,"binding,bundle"
org.kie.kogito,kogito-addons-task-management,management
org.apache.dubbo,dubbo-container-api,"container,apache,api"
org.webjars,jstimezonedetect,"web,assets"
com.github.jhonnymertz,java-wkhtmltopdf-wrapper,github
org.pentaho.reporting.designer,datasource-editor-olap4j,"data,reporting,editor,datasource"
org.glassfish.tyrus,tyrus-websocket-core,websocket
com.yahoo.vespa,node-repository,repository
org.apereo.cas,cas-server-support-u2f,"support,server"
com.amazonaws,aws-java-sdk-prometheus,"aws,amazon,sdk,prometheus"
org.sonatype.nexus.testsuite,nexus-repository-content-testsupport,repository
software.amazon.awssdk,workdocs,"aws,amazon"
com.impetus.kundera.client,kundera-hbase,"database,client,hbase"
software.amazon.awscdk,core,amazon
org.openhab.addons.bundles,org.openhab.binding.icalendar,"binding,bundle"
org.wildfly.legacy.test,wildfly-legacy-spi,"interface,testing"
org.jboss.forge.addon,environment-api,"jboss,api"
io.vertx,vertx-db2-client,"vertx,client,io"
org.geotools.ogc,net.opengis.wfs,geo
org.apache.tinkerpop,spark-gremlin,"spark,apache,graph"
org.apache.cxf,cxf-wadl2java-plugin,"plugin,maven,apache"
org.eclipse.core,org.eclipse.core.runtime,"eclipse,runtime"
org.eclipse.platform,org.eclipse.compare.core,"eclipse,platform"
com.google.apis,google-api-services-container,"google,container,service,api"
org.glassfish.soteria,soteria.spi.bean.decorator.weld,"beans,interface"
com.baidu.hugegraph,hugegraph-postgresql,"database,postgresql"
org.apache.spark,spark-sql_2.11,"bigdata,sql,query,hadoop,spark,apache"
uk.gov.dstl.baleen,baleen-graph,graph
org.apache.spark,spark-sql_2.10,"bigdata,sql,query,hadoop,spark,apache"
org.ocpsoft.rewrite,rewrite-annotations-api,"annotations,api"
org.apache.spark,spark-sql_2.12,"bigdata,sql,query,hadoop,spark,apache"
org.apache.nifi,nifi-datadog-reporting-task,"reporting,apache"
org.hibernate,hibernate-jcache,"hibernate,persistence"
org.wicketstuff.htmlvalidator,wicketstuff-htmlvalidator,wicket
javax.servlet,javax.servlet-api,"standard,servlet,javax,api,specs"
org.apache.kafka,kafka_2.8.2,"streaming,kafka,broker,apache,message"
org.liquibase,liquibase-core,"jdbc,database,migration"
org.apache.edgent.java7,edgent-apps-iot,apache
io.netty,netty-codec-dns,"dns,network,socket,netty,codec,io"
org.springframework.hateoas,spring-hateoas,spring
io.vertx,vertx-json-schema,"json,vertx,schema,io"
org.glassfish.main.tests,utils-ng,testing
software.amazon.awssdk,lakeformation,"aws,amazon"
org.eluder.coveralls,coveralls-maven-plugin,"plugin,build,build-system,maven"
io.joynr.java.common,access-control-common,io
org.openehealth.ipf.platform-camel,ipf-platform-camel-hl7,"platform,camel"
io.prestosql,presto-main,io
org.jboss.arquillian.container,arquillian-wls-remote-12.1.x,"container,jboss,remote"
